"PathwayID"	"PathwayName"	"GeneList"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d032984_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d006875_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d008277_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d030557_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d003953_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"alt7"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"alt8"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d018639_T002.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d014258_T002.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d044135_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d022152_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d020590_T009.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d032984_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d006875_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d008277_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d030557_T001.1"
"ALANINE-SYN2-PWY"	"L-alanine biosynthesis II"	"Zm00001d003953_T001.1"
"ARG-PRO-PWY"	"L-arginine degradation VI (arginase 2 pathway)"	"Zm00001d024908_T002.1"
"ARG-PRO-PWY"	"L-arginine degradation VI (arginase 2 pathway)"	"Zm00001d042117_T002.1"
"ARG-PRO-PWY"	"L-arginine degradation VI (arginase 2 pathway)"	"Zm00001d043756_T001.1"
"ARGASEDEG-PWY"	"L-arginine degradation I (arginase pathway)"	"Zm00001d038841_T007.1"
"ARGASEDEG-PWY"	"L-arginine degradation I (arginase pathway)"	"Zm00001d024908_T002.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d025773_T002.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d007578_T001.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d020543_T001.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d003157_T002.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d051056_T001.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d048145_T001.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d046112_T002.1"
"ARGSPECAT-PWY"	"spermine biosynthesis"	"Zm00001d025174_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d017676_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d035443_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d033328_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d029162_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d051359_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d002734_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d044368_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d048574_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d028662_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d004611_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d021956_T002.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d010837_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d047817_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d032612_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d044250_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d017790_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d051586_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d011192_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d017769_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d027380_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d040103_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d018091_T002.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d051563_T002.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d013476_T002.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d006854_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d024950_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d018314_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d048433_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d047667_T001.1"
"ARGSYN-PWY"	"L-arginine biosynthesis I (via L-ornithine)"	"Zm00001d024048_T004.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d044368_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d048574_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d004611_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d021956_T002.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d010837_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d047817_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d032612_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d044250_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d017790_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d051586_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d011192_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d028662_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d051359_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d002734_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d033328_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d029162_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d035443_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d017769_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d027380_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d040103_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d018091_T002.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d051563_T002.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d013476_T002.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d006854_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d024950_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d018314_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d048433_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d047667_T001.1"
"ARGSYNBSUB-PWY"	"L-arginine biosynthesis II (acetyl cycle)"	"Zm00001d024048_T004.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d040850_T003.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d023892_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d041700_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d052247_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d002128_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d018061_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d045450_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d047896_T009.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d028477_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d013618_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d020059_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d044716_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d029391_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d006900_T004.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d052797_T002.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d022181_T004.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d031139_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d031141_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d017655_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d037739_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d030369_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d006242_T001.1"
"ARO-PWY"	"chorismate biosynthesis I"	"Zm00001d022622_T005.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d031563_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d006214_T002.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d028766_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d045675_T003.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d010196_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d044608_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d047736_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d010355_T001.1"
"ASPARAGINE-BIOSYNTHESIS"	"L-asparagine biosynthesis I"	"Zm00001d028750_T002.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d022633_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d011791_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d002052_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d033160_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d037143_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d051649_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d051214_T001.1"
"ASPARAGINE-DEG1-PWY"	"L-asparagine degradation I"	"Zm00001d042485_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d031563_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d006214_T002.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d028766_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d045675_T003.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d010196_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d044608_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d047736_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d010355_T001.1"
"ASPARAGINESYN-PWY"	"L-asparagine biosynthesis II"	"Zm00001d028750_T002.1"
"ASPARTATE-DEG1-PWY"	"L-aspartate degradation I"	"Zm00001d018386_T005.1"
"ASPARTATE-DEG1-PWY"	"L-aspartate degradation I"	"Zm00001d043382_T001.1"
"ASPARTATE-DEG1-PWY"	"L-aspartate degradation I"	"Zm00001d042685_T001.1"
"ASPARTATE-DEG1-PWY"	"L-aspartate degradation I"	"Zm00001d016198_T003.1"
"ASPARTATE-DEG1-PWY"	"L-aspartate degradation I"	"Zm00001d010190_T002.1"
"ASPARTATESYN-PWY"	"L-aspartate biosynthesis"	"Zm00001d018386_T005.1"
"ASPARTATESYN-PWY"	"L-aspartate biosynthesis"	"Zm00001d043382_T001.1"
"ASPARTATESYN-PWY"	"L-aspartate biosynthesis"	"Zm00001d042685_T001.1"
"ASPARTATESYN-PWY"	"L-aspartate biosynthesis"	"Zm00001d016198_T003.1"
"ASPARTATESYN-PWY"	"L-aspartate biosynthesis"	"Zm00001d010190_T002.1"
"ASPSYNII-PWY"	"cyanide detoxification I"	"Zm00001d017352_T005.1"
"ASPSYNII-PWY"	"cyanide detoxification I"	"Zm00001d051214_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d033750_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d013427_T003.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d016572_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d017168_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d007288_T005.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d051043_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d050567_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d044035_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d009638_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d043628_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d034471_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d041355_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d051310_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d039084_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d031929_T005.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d049929_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d023243_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d052472_T011.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d004960_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d037135_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d039493_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d029415_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d053941_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d053950_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d053960_T003.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d017467_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d015088_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d028303_T003.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d029848_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d045803_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d029231_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d048539_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d002694_T004.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d033978_T001.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d026675_T002.1"
"BRANCHED-CHAIN-AA-SYN-PWY"	"superpathway of branched chain amino acid biosynthesis"	"Zm00001d002880_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d025773_T002.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d007578_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d020543_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d003157_T002.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d051056_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d048145_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d015026_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d005125_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d053404_T006.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d046112_T002.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d040122_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d019467_T001.1"
"BSUBPOLYAMSYN-PWY"	"spermidine biosynthesis I"	"Zm00001d005159_T006.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d044548_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d018936_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d013135_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d052482_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d030701_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d000164_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d017711_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d002454_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d048324_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d021050_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d027841_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d042840_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d004171_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d045451_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d046962_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d028562_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d046942_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d010172_T004.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d036552_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d042727_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d051622_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d040084_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d023559_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d003968_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d012103_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d046553_T003.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d042453_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d037333_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d053015_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d008491_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d028270_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d028395_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d029307_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d040375_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d012407_T005.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d008619_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d021310_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d024005_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d030216_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d039865_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d033237_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d006221_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d009835_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d025593_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d025599_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d025607_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d025601_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d003429_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d027488_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d038579_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d015376_T002.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d043194_T001.1"
"CALVIN-PWY"	"Calvin-Benson-Bassham cycle"	"Zm00001d032867_T002.1"
